startId:START_ID,endId:END_ID,type:TYPE,indicator
5048,2064,Action,are determined
2064,6999,Conjunctive,and
6999,1810,Sequential,
1810,2619,Constraint,in
2619,5479,Sequential,
5479,1179,Sequential,
1179,7321,Sequential,
7321,2588,Conjunctive,and
2588,7230,Sequential,
6021,4777,Constraint,in
6021,4777,Constraint,in
4777,1387,Constraint,to
4777,1387,Action,can be used
4777,1387,Action,define
2040,1387,Constraint,of
1387,67,Action,can represent
2064,1387,Constraint,on
1387,7099,Action,form
7548,1853,Attribute,are
1853,7406,Sequential,
7406,2609,Sequential,
2609,7805,Conjunctive,and
2057,1195,Action,has
1195,2573,Sequential,
2573,4231,Conjunctive,and
1387,50,Attribute,are
50,703,Constraint,of
658,241,Sequential,
241,655,Action,has
655,2722,Conjunctive,and
2722,2040,Constraint,by
2722,2040,Action,can be represented
2040,1387,Constraint,of
7406,7147,Attribute,is
7406,1195,Constraint,of
7406,1195,Action,consists
1195,6928,Conjunctive,and
2609,4126,Action,represents
3225,7049,Constraint,in
7049,6007,Constraint,by
7049,6007,Action,determined
2862,7409,Attribute,can be regarded
7805,1526,Action,represents
7006,2609,Constraint,by
7006,2609,Action,represented
7006,6295,Constraint,by
7006,6295,Action,represented
5913,1195,Constraint,by
5913,1195,Action,is represented
1195,6001,Sequential,
6001,2040,Sequential,
2040,1387,Constraint,of
1387,3352,Conjunctive,or
3352,397,Sequential,
397,6193,Attribute,coordinates
397,6193,Attribute,finely classify
397,5913,Sequential,
5913,1677,Sequential,
5913,6581,Constraint,of
7805,7141,Attribute,is called
5793,4126,Constraint,as
5793,4126,Conjunctive,and
4126,3784,Attribute,is
3784,992,Constraint,to
3784,992,Action,establish
992,5121,Conjunctive,and
7406,2609,Sequential,
2609,7805,Sequential,
7805,3225,Conjunctive,and
3225,2040,Attribute,are
2040,4682,Constraint,in
7805,2040,Action,regulates
2040,3225,Constraint,of
2609,1154,Action,regulates
5365,6674,Action,represents
6674,6295,Constraint,than
7406,6928,Action,regulates
6928,208,Conjunctive,and
1853,3225,Constraint,by
1853,3225,Action,is determined
1853,3225,Action,locating
3225,1853,Sequential,
1853,6223,Constraint,to
1853,6223,Constraint,by
1853,6223,Constraint,from
1853,6223,Conjunctive,and
1853,6223,Action,belongs
1853,6223,Action,selecting
6223,1195,Action,according to
1195,4231,Conjunctive,and
4231,420,Sequential,
7366,1195,Constraint,as
7366,1195,Constraint,if
7366,3963,Attribute,can be regarded
1195,6482,Constraint,in
6482,1195,Conjunctive,and
1195,5486,Constraint,of
5486,6482,Constraint,in
5365,6861,Conjunctive,but
5365,6861,Action,have
6861,7366,Sequential,
1810,1195,Sequential,
5465,7366,Constraint,into
5465,7366,Action,can be split
3642,1195,Sequential,
1195,7366,Constraint,of
7802,7805,Conjunctive,and
658,467,Sequential,
467,7744,Constraint,of
7744,2040,Constraint,by
7744,2040,Action,can be defined
2040,1387,Constraint,of
467,7744,Sequential,
7177,7406,Action,enable
7406,3544,Constraint,to
7406,3544,Action,represent
2040,6294,Constraint,of
6294,7805,Constraint,to
6294,7805,Action,describe
7805,1853,Conjunctive,and
1853,2040,Constraint,by
1853,2040,Action,contained
2040,6294,Constraint,of
6294,7380,Sequential,
1657,4559,Constraint,between
1575,1677,Conjunctive,or
1575,1677,Action,share
1575,1677,Conjunctive,or
1575,1677,Action,share
1677,1853,Constraint,in
1677,7852,Attribute,is
1677,1853,Action,automatically classifying
5414,3501,Constraint,of
3950,922,Constraint,between
922,7762,Action,deepens
7762,2602,Sequential,
2602,5479,Constraint,on
6601,5214,Constraint,for
6601,5214,Attribute,are
6601,5214,Action,designing
5654,7406,Sequential,
5859,3593,Sequential,
5654,7406,Sequential,
7406,6526,Attribute,is
7882,2609,Constraint,for
7882,2609,Conjunctive,and
2609,7864,Sequential,
7864,7141,Attribute,are
5654,7406,Sequential,
7406,5469,Attribute,is
5654,7366,Conjunctive,and
7366,5654,Constraint,of
5654,7406,Sequential,
7406,109,Attribute,are
2345,2866,Conjunctive,and
996,2866,Sequential,
2545,7538,Constraint,of
1098,3459,Action,is called
3459,2866,Constraint,of
7406,2866,Constraint,into
7406,2866,Action,can be disjoined
2573,1853,Constraint,of
1853,7406,Constraint,as
1853,7406,Constraint,of
7406,2866,Sequential,
2573,1853,Constraint,of
3155,2866,Sequential,
5165,996,Constraint,by
5165,996,Action,retaining
996,5165,Constraint,in
5165,3696,Conjunctive,and
5165,3696,Action,including
5165,4349,Action,is called
4349,2866,Constraint,of
3155,2866,Constraint,as
3155,2866,Action,can be extended
3155,2866,Action,follows
1160,4314,Constraint,between
4314,2866,Constraint,of
3155,2869,Attribute,be
5165,996,Constraint,by
5165,996,Action,retaining
996,5165,Constraint,in
5165,3696,Conjunctive,and
5165,3696,Action,including
2314,1715,Constraint,of
7406,2866,Constraint,into
7406,2866,Action,can be split
2345,7406,Constraint,as
2345,7406,Constraint,of
996,2199,Constraint,by
996,2199,Action,splitting
1465,3181,Constraint,to
3181,2740,Sequential,
2740,1810,Constraint,to
2740,1810,Action,can be extended
1810,2866,Constraint,that
996,2199,Constraint,by
996,2199,Constraint,of
3052,45,Constraint,to
3052,45,Action,can be adopted
3052,45,Action,realize
7438,1853,Constraint,that
7438,1853,Attribute,is
1853,6428,Constraint,in
1853,6428,Action,specified
6428,248,Constraint,in
6428,248,Action,are reserved
45,6538,Constraint,in
45,6538,Action,would result
3459,4093,Conjunctive,and
3459,4093,Action,merge
4093,7199,Constraint,for
4093,7199,Action,Therefore are usually used
4093,7199,Action,generating
7199,4509,Constraint,of
7461,381,Constraint,with
7461,381,Constraint,SQL like
7461,381,Action,is equipped
381,754,Constraint,to
381,754,Action,support
1706,5952,Constraint,in
1706,5952,Action,are introduced
5952,7230,Sequential,
1457,2499,Constraint,on
1457,2499,Action,depends
2499,186,Constraint,of
2499,186,Constraint,with
2499,186,Action,dealing
186,7528,Conjunctive,and
7528,186,Constraint,of
7528,186,Action,storing
1594,2245,Constraint,of
2245,2499,Constraint,between
2499,186,Constraint,of
2499,186,Constraint,with
2499,186,Action,dealing
186,7528,Conjunctive,and
7528,186,Constraint,of
7528,186,Action,storing
186,4533,Action,determines
3863,2208,Action,depicts
2208,5062,Constraint,between
5062,7406,Conjunctive,and
3044,7251,Constraint,with
7251,2843,Constraint,to
7251,2843,Action,leads
3724,3479,Action,bridges
3479,4725,Constraint,between
4725,5122,Conjunctive,and
3363,4913,Constraint,like
4913,7715,Action,helps
4913,7715,Action,explain
7715,2628,Conjunctive,and
2628,2685,Constraint,on
2685,2860,Conjunctive,and
7539,3047,Action,defines
3047,1731,Constraint,for
3047,1731,Conjunctive,and
3047,1731,Action,specifying
3047,1731,Action,modifying
2012,4146,Constraint,by
2012,4146,Action,can be created
1867,4034,Constraint,of
4034,5756,Sequential,
5756,7805,Attribute,is
7881,2012,Attribute,is
5768,5703,Action,set
3916,7406,Constraint,for
3916,7406,Attribute,is
3916,7406,Action,deleting
7406,3575,Action,including
3575,5950,Conjunctive,and
1046,4509,Constraint,on
1046,4509,Action,is used
4509,2609,Constraint,to
4509,2609,Conjunctive,or
4509,2609,Action,add
4509,2609,Action,drop
2609,7805,Conjunctive,or
658,1727,Sequential,
1727,7406,Constraint,to
1727,7406,Action,can be added
7406,4146,Constraint,by
7406,4146,Action,using
1727,4509,Constraint,of
4509,824,Sequential,
824,1727,Attribute,is
5756,430,Attribute,is
7049,2609,Action,ADD
4237,4146,Constraint,by
4237,4146,Action,can be listed
4237,4146,Action,using
1195,4509,Constraint,of
24,4146,Constraint,by
24,4146,Action,Similarly can be listed
24,4146,Action,using
